alternative_motive_power,basic_colour,body_type,cc_rating,chassis7,class,engine_number,first_nz_registration_year,first_nz_registration_month,gross_vehicle_mass,height,import_status,industry_class,industry_model_code,make,model,motive_power,mvma_model_code,number_of_axles,number_of_seats,nz_assembled,original_country,power_rating,previous_country,road_transport_code,submodel,tla,postcode,transmission_type,vdam_weight,vehicle_type,vehicle_usage,vehicle_year,vin11,width,synthetic_greenhouse_gas,fc_combined,fc_urban,fc_extra_urban
,RED,TRACTOR,4000,C308010,,6703487,1995.0,2.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,MASSEY FERGUSON,3075 4WD DYNASHIFT,DIESEL,,0,0,UNKNOWN,NEW ZEALAND,0,NONE,,,HASTINGS DISTRICT,4172,,0,TRACTOR,OTHER,1995,,0,,,,
,RED,TRACTOR,4000,5326047,,U838129,1995.0,7.0,0.0,0,RE-REG,UNKNOWN,,MASSEY FERGUSON,290 X4WD,DIESEL,,0,0,UNKNOWN,FRANCE,0,NONE,,,CENTRAL OTAGO DISTRICT,0,,0,TRACTOR,OTHER,1983,,0,,,,
,RED,TRACTOR,5250,115951,,109664D,1969.0,3.0,0.0,0,NEW,PRIVATE,,FERGUSON,135D,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,CHRISTCHURCH CITY,7676,,0,TRACTOR,OTHER,1969,,0,,,,
,WHITE,TRACTOR,2695,880A/56,,AD355A32334,1972.0,1.0,0.0,0,NEW,PRIVATE,,DAVID BROWN,880,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,THAMES-COROMANDEL DISTRICT,3506,,0,TRACTOR,OTHER,1972,,0,,,,
,RED,TRACTOR,2500,13884,,152UA168063D,1969.0,12.0,0.0,0,NEW,PRIVATE,,FERGUSON,135,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,HASTINGS DISTRICT,4178,,0,TRACTOR,OTHER,1969,,0,,,,
,BLUE,TRACTOR,2100,1270035,,1270035,1971.0,7.0,0.0,0,NEW,UNKNOWN,,FORDSON,MAJOR,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,RUAPEHU DISTRICT,4625,,0,TRACTOR,OTHER,1956,,0,,,,
,ORANGE,TRACTOR,2592,552982,,8035,1974.0,7.0,0.0,0,NEW,PRIVATE,,FIAT,540,PETROL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,BULLER DISTRICT,7830,,0,TRACTOR,OTHER,1974,,0,,,,
,BLUE,TRACTOR,4193,B262724,,,1976.0,3.0,0.0,0,NEW,UNKNOWN,,FORD,7000,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,CLUTHA DISTRICT,0,,0,TRACTOR,OTHER,1976,,0,,,,
,RED,TRACTOR,0,,,2210114B104029-X,1977.0,5.0,1999.0,0,NEW,UNKNOWN,,INTERNATIONAL,1.454,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,TASMAN DISTRICT,7020,,0,TRACTOR,OTHER,1977,,0,,,,
,RED,TRACTOR,2502,135-455,,152UA42304DL,1976.0,3.0,0.0,0,NEW,UNKNOWN,,MASSEY,135,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,WAIPA DISTRICT,0,,0,TRACTOR,OTHER,1976,,0,,,,
,RED,TRACTOR,1794,1108308,,44900151932,1977.0,12.0,0.0,0,NEW,UNKNOWN,,DAVID BROWN,990,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,WHANGAREI DISTRICT,0,,0,TRACTOR,OTHER,1977,,0,,,,
,RED,TRACTOR,1810,DF35T64,,9826420,1978.0,9.0,0.0,0,NEW,PRIVATE,,SAME,DELFINO 35,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,WAIKATO DISTRICT,2473,,0,TRACTOR,OTHER,1973,,0,,,,
,ORANGE,TRACTOR,4562,897279,,OM003754006355,1982.0,2.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,FIAT,880,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,AUCKLAND,2580,,0,TRACTOR,OTHER,1982,,0,,,,
,RED,TRACTOR,3800,FG72504,,248UA3167,1982.0,9.0,3501.0,0,NEW,UNKNOWN,,MASSEY,178,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,WAIKATO DISTRICT,3793,,0,TRACTOR,OTHER,1972,,0,,,,
,YELLOW,TRACTOR,0,602G036,,498DT5914021,1984.0,10.0,3501.0,0,NEW,UNKNOWN,,MARSHALL,602,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,HAURAKI DISTRICT,0,,0,TRACTOR,OTHER,1984,,0,,,,
,YELLOW,TRACTOR,3294,540230,,200808,1985.0,2.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,FORD,555TC,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,AUCKLAND,2120,,0,TRACTOR,OTHER,1985,,0,,,,
,BLUE,TRACTOR,4195,BA26389,,808320-4K20,1988.0,8.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,FORD,5610,DIESEL,,0,0,UNKNOWN,UNITED KINGDOM,0,NONE,,,CHRISTCHURCH CITY,7674,,0,TRACTOR,AGRICULTURAL,1988,,0,,,,
,BLUE,TRACTOR,1995,NA44035,,N84403544,1989.0,5.0,0.0,0,NEW,PRIVATE,,FORD,1920X4,DIESEL,,0,0,UNKNOWN,JAPAN,0,NONE,,,SOUTHLAND DISTRICT,0,,0,TRACTOR,OTHER,1989,,0,,,,
,GREEN,TRACTOR,5600,7449704,,7682892,1989.0,9.0,0.0,0,NEW,UNKNOWN,,DEUTZ-FAHR,DX605,DIESEL,,0,0,UNKNOWN,NEW ZEALAND,0,NONE,,,CHRISTCHURCH CITY,7677,,0,TRACTOR,OTHER,1989,,0,,,,
,BLUE,TRACTOR,3600,E27N,,3097791,1992.0,3.0,0.0,0,RE-REG,AGRICULTURE/FORESTRY/FISHING,,FORDSON,MAJOR,DIESEL,,0,0,UNKNOWN,UNITED KINGDOM,0,NONE,,,WAIMAKARIRI DISTRICT,7471,,0,TRACTOR,OTHER,1951,,0,,,,
,BLUE,TRACTOR,0,D187019,,1870190B26,1971.0,12.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,FORD,4000,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,WAIKATO DISTRICT,3782,,0,TRACTOR,OTHER,1970,,0,,,,
,RED,TRACTOR,6000,B020005,,YA-31251U552418,1993.0,4.0,0.0,0,NEW,UNKNOWN,,MASSEY FERGUSON,3085 DATA -DYNA,DIESEL,,0,0,UNKNOWN,UNITED KINGDOM,0,NONE,,,CARTERTON DISTRICT,0,,0,TRACTOR,OTHER,1993,,0,,,,
,RED,TRACTOR,0,3007E,,3007E,1992.0,12.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,INTERNATIONAL,585,DIESEL,,0,0,UNKNOWN,NEW ZEALAND,0,NONE,,,HAMILTON CITY,3281,,0,TRACTOR,OTHER,1975,,0,,,,
,YELLOW,TRACTOR,4381,22503,,BD2647084,1969.0,11.0,0.0,0,NEW,MANUFACTURING,,INTERNATIONAL,B450,PETROL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,ASHBURTON DISTRICT,0,,0,TRACTOR,OTHER,1963,,0,,,,
,RED,TRACTOR,5000,SBMD782,,BD2646449,1993.0,5.0,0.0,0,NEW,PRIVATE,,INTERNATIONAL,FARMALL SUPER BMD,DIESEL,,0,0,UNKNOWN,UNITED KINGDOM,0,NONE,,,MATAMATA-PIAKO DISTRICT,3375,,0,TRACTOR,AGRICULTURAL,1955,,0,,,,
,GREY,TRACTOR,2300,TEA8495,,,1994.0,1.0,0.0,0,RE-REG,UNKNOWN,,FERGUSON,TEA,PETROL,,0,0,UNKNOWN,UNITED KINGDOM,0,NONE,,,TASMAN DISTRICT,7120,,0,TRACTOR,OTHER,1954,,0,,,,
,BLUE,TRACTOR,2000,T9520EF,,6BBI556951,1994.0,4.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,ISEKI,T9520EF,DIESEL,,0,0,UNKNOWN,NEW ZEALAND,0,NONE,,,WAITAKI DISTRICT,0,,0,TRACTOR,OTHER,1992,,0,,,,
,BLUE,TRACTOR,5945,CCW3537,,683F9K22A,1994.0,3.0,0.0,0,RE-REG,UNKNOWN,,GMC,CHOPPER,DIESEL,,0,0,UNKNOWN,NEW ZEALAND,0,NEW ZEALAND,,,TIMARU DISTRICT,7920,,0,TRACTOR,OTHER,1972,,0,,,,
,GREEN,TRACTOR,7600,RW700H0,,RG6076T512629,1994.0,9.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,JOHN DEERE,7700,DIESEL,,0,0,UNKNOWN,UNITED STATES,0,NONE,,,WAITAKI DISTRICT,9493,,0,TRACTOR,OTHER,1993,,0,,,,
,RED,TRACTOR,6000,B15111,,U556037X,1994.0,7.0,0.0,0,NEW,PRIVATE,,MASSEY FERGUSON,399,DIESEL,,0,0,UNKNOWN,UNITED KINGDOM,0,NONE,,,INVERCARGILL CITY,9874,,0,TRACTOR,OTHER,1994,,0,,,,
