tla,tier_assigned,annual_diesel_litres
WESTLAND DISTRICT,Unregulated,29346.776935506536
LOWER HUTT CITY,Tier 2,28682.35141734393
WHANGANUI DISTRICT,Tier 1,28662.671630339835
BULLER DISTRICT,Unregulated,28457.861580676243
UPPER HUTT CITY,Tier 4i,26151.094619214717
UPPER HUTT CITY,Tier 2,25982.51084728953
NAPIER CITY,Tier 1,25004.903723980806
KAIKOURA DISTRICT,Unregulated,24921.055500515296
PORIRUA CITY,Stage V,24829.84420438896
STRATFORD DISTRICT,Tier 1,24740.73181916966
OTOROHANGA DISTRICT,Tier 1,24212.388009547376
GREY DISTRICT,Unregulated,24032.140145685
ROTORUA DISTRICT,Tier 1,23968.535485234723
PORIRUA CITY,Tier 2,22920.950153892027
OPOTIKI DISTRICT,Tier 1,21855.160246745578
WAIROA DISTRICT,Stage V,21305.66126865114
RUAPEHU DISTRICT,Tier 1,20818.79200799949
WELLINGTON CITY,Unregulated,20476.47872636382
,Unregulated,20470.19361331041
MACKENZIE DISTRICT,Tier 1,20158.36224597163
CARTERTON DISTRICT,Unregulated,19574.993145426706
THAMES-COROMANDEL DISTRICT,Tier 1,18217.711720885036
TAUPO DISTRICT,Tier 1,17801.13448316983
NELSON CITY,Tier 1,17404.87662595312
KAIKOURA DISTRICT,Stage V,17052.261202715046
CENTRAL HAWKE'S BAY DISTRICT,Tier 1,16652.999672516664
SOUTH WAIRARAPA DISTRICT,Tier 1,16236.422434801463
LOWER HUTT CITY,Stage V,16086.195101054833
KAPITI COAST DISTRICT,Tier 1,15067.968243649808
QUEENSTOWN-LAKES DISTRICT,Tier 1,15067.968243649808
MASTERTON DISTRICT,Tier 1,14692.02976693158
GREY DISTRICT,Tier 1,12710.740480848006
PORIRUA CITY,Unregulated,12451.100080677532
UPPER HUTT CITY,Stage V,11604.32487253235
WELLINGTON CITY,Tier 1,11389.88095679229
KAIKOURA DISTRICT,Tier 1,11389.88095679229
UPPER HUTT CITY,Unregulated,10673.269371016942
KAWERAU DISTRICT,Tier 3,10418.642373101417
WAITOMO DISTRICT,Tier 1,9825.168908423917
,Tier 1,8900.567241584915
CARTERTON DISTRICT,Tier 1,8656.714717272262
KAWERAU DISTRICT,Tier 2,7598.174941763703
LOWER HUTT CITY,Unregulated,7117.607951695765
WAIROA DISTRICT,Tier 1,7071.683288405403
WESTLAND DISTRICT,Tier 1,6035.315049659317
BULLER DISTRICT,Tier 1,4978.627430414745
KAWERAU DISTRICT,Tier 4f,3399.50408252482
LOWER HUTT CITY,Tier 1,3149.7434772352303
UPPER HUTT CITY,Tier 1,3017.6575248296585
PORIRUA CITY,Tier 1,2225.1418103962287
KAWERAU DISTRICT,Tier 4i,2108.6465802527364
KAWERAU DISTRICT,Stage V,1300.9617382583572
KAWERAU DISTRICT,Unregulated,888.9153548302942
KAWERAU DISTRICT,Tier 1,528.3438096222866
