tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name
TAUPO DISTRICT,263.894756075808,1957321.377510271,59.666983334219665,766127.407450353,1.9573213775102711,0.766127407450353,0.02298382222351059,0.030645096298014124,0.038306370372517655,moderate_modernization
TAURANGA CITY,382.9281411902174,2712763.8078634427,78.46641951833007,1010099.9473156361,2.7127638078634426,1.010099947315636,0.030302998419469082,0.04040399789262545,0.050504997365781804,moderate_modernization
THAMES-COROMANDEL DISTRICT,244.27677480252848,1641572.5620908092,41.080573996627656,524301.3965038328,1.6415725620908093,0.5243013965038328,0.01572904189511498,0.020972055860153313,0.02621506982519164,moderate_modernization
TIMARU DISTRICT,1073.4325028653561,7355721.816843451,191.95962004549904,2449422.505779448,7.355721816843451,2.449422505779448,0.07348267517338344,0.09797690023117792,0.1224711252889724,moderate_modernization
UPPER HUTT CITY,36.462010074983354,241462.7840133533,5.576991973959037,70485.43986293874,0.24146278401335328,0.07048543986293875,0.0021145631958881623,0.0028194175945175496,0.0035242719931469373,moderate_modernization
WAIKATO DISTRICT,733.0743901278074,5128171.5963164745,137.73292741454787,1756742.9113215609,5.1281715963164745,1.756742911321561,0.05270228733964682,0.07026971645286244,0.08783714556607805,moderate_modernization
WAIMAKARIRI DISTRICT,504.51979793761245,3252814.4210392656,75.59050894032791,963585.0734757709,3.2528144210392655,0.9635850734757709,0.028907552204273126,0.03854340293903084,0.048179253673788544,moderate_modernization
WAIMATE DISTRICT,363.94010130108524,2512960.992525451,67.49752073273051,863818.1410200758,2.512960992525451,0.8638181410200758,0.02591454423060227,0.03455272564080303,0.04319090705100379,moderate_modernization
WAIPA DISTRICT,842.1897176348002,5913468.358828497,159.46946142118583,2038440.873249095,5.9134683588284975,2.038440873249095,0.06115322619747285,0.0815376349299638,0.10192204366245476,moderate_modernization
WAIROA DISTRICT,63.731029039494615,413982.7171053804,9.656235616157007,122686.35820249424,0.41398271710538037,0.12268635820249424,0.003680590746074827,0.00490745432809977,0.006134317910124713,moderate_modernization
WAITAKI DISTRICT,695.762179642879,4740448.044169086,123.09596469784248,1571284.8167618546,4.740448044169086,1.5712848167618545,0.04713854450285564,0.06285139267047418,0.07856424083809274,moderate_modernization
WAITOMO DISTRICT,139.82951290958047,1002106.5254090114,28.997529860972023,371530.308471114,1.0021065254090114,0.371530308471114,0.011145909254133422,0.014861212338844562,0.018576515423555703,moderate_modernization
WELLINGTON CITY,291.47978273623136,2236324.386105522,72.79691526283497,937470.0035034483,2.236324386105522,0.9374700035034483,0.028124100105103446,0.037498800140137935,0.04687350017517242,moderate_modernization
WESTERN BAY OF PLENTY DISTRICT,570.1718752248761,4014062.4743591165,115.67038978300027,1490406.8286568718,4.0140624743591165,1.490406828656872,0.04471220485970615,0.05961627314627487,0.07452034143284358,moderate_modernization
WESTLAND DISTRICT,110.95131434582247,752802.1490138766,17.908775873522913,226101.50223416206,0.7528021490138765,0.22610150223416206,0.006783045067024862,0.009044060089366483,0.011305075111708104,moderate_modernization
WHAKATANE DISTRICT,328.42041928748796,2288493.993545537,61.355632561703324,784563.8810251366,2.288493993545537,0.7845638810251365,0.023536916430754097,0.031382555241005465,0.03922819405125683,moderate_modernization
WHANGANUI DISTRICT,168.7257309555788,1134506.8285603896,29.37777116029517,376154.9410127642,1.1345068285603896,0.3761549410127642,0.011284648230382926,0.015046197640510567,0.01880774705063821,moderate_modernization
WHANGAREI DISTRICT,622.5160584335971,4424958.927507973,127.59216676641518,1643207.7744359975,4.424958927507974,1.6432077744359974,0.049296233233079925,0.0657283109774399,0.08216038872179988,moderate_modernization
,97.84386394766989,713768.047315107,21.760059699640767,280229.7051790723,0.713768047315107,0.28022970517907225,0.008406891155372168,0.011209188207162891,0.014011485258953614,moderate_modernization
ASHBURTON DISTRICT,1768.537907490089,13103037.402600698,435.1546910613811,5651471.925575133,13.103037402600698,5.651471925575134,0.16954415776725398,0.22605887702300534,0.28257359627875667,accelerated_modernization
AUCKLAND,2522.8001626490627,18849944.903434332,642.9469486445018,8388982.967978027,18.84994490343433,8.388982967978027,0.2516694890393408,0.3355593187191211,0.41944914839890135,accelerated_modernization
BULLER DISTRICT,110.99713321151451,847351.3145895278,29.331351737465035,380706.7134608233,0.8473513145895278,0.3807067134608233,0.011421201403824698,0.015228268538432933,0.019035335673041165,accelerated_modernization
