tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name,baseline_regional_diesel_ml,baseline_def_central_ml,delta_regional_diesel_ml_vs_baseline,delta_def_central_ml_vs_baseline
KAIKOURA DISTRICT,60.35016434423856,381984.3013837416,8.306761352414508,104888.9030411401,0.3819843013837416,0.1048889030411401,0.0031466670912342,0.0041955561216456,0.005244445152057,moderate_modernization,0.3561177267855578,0.0027489767646083,0.02586657459818381,0.0014465793570373003
KAIPARA DISTRICT,296.0282722047645,1937902.0115400665,44.12223949257174,558612.5303998056,1.9379020115400665,0.5586125303998056,0.0167583759119941,0.0223445012159922,0.0279306265199902,moderate_modernization,1.810338963274492,0.0147164063066793,0.12756304826557452,0.0076280949093128995
KAPITI COAST DISTRICT,119.08142340566626,745500.8267812424,16.459317314879435,209688.1076018145,0.7455008267812424,0.2096881076018145,0.0062906432280544,0.0083875243040725,0.0104844053800907,moderate_modernization,0.6971408817103086,0.0056672457177679,0.048359945070933774,0.0027202785863046
KAWERAU DISTRICT,5.028401204787997,29377.79459490565,0.5322607316602835,6823.563507552572,0.0293777945949056,0.0068235635075525,0.0002047069052265,0.0002729425403021,0.0003411781753776,moderate_modernization,0.0262431888803536,0.0001880186328313,0.0031346057145519995,8.492390747080002e-05
LOWER HUTT CITY,39.26108811759057,267927.18173231755,6.787223268804068,86780.29649578533,0.2679271817323175,0.0867802964957853,0.0026034088948735,0.0034712118598314,0.0043390148247892,moderate_modernization,0.2490457978918265,0.0023744207108029,0.01888138384049101,0.0010967911490285002
MACKENZIE DISTRICT,187.65783566349475,1319837.2976190166,35.8929534363028,457673.22006291366,1.3198372976190167,0.4576732200629136,0.0137301966018874,0.0183069288025165,0.0228836610031456,moderate_modernization,1.2345642757044004,0.0125072767188952,0.08527302191461628,0.0057996520836213015
MANAWATU DISTRICT,383.8805722953613,2720834.679463043,75.61786521844898,966103.5926533294,2.7208346794630427,0.9661035926533292,0.0289831077795998,0.0386441437061331,0.0483051796326664,moderate_modernization,2.5450366168247656,0.0266002650006977,0.17579806263827713,0.012043878705435402
MARLBOROUGH DISTRICT,1412.8133844334366,10285705.768234024,301.32614323486246,3865682.392465103,10.285705768234024,3.865682392465103,0.115970471773953,0.1546272956986041,0.1932841196232551,moderate_modernization,9.615131293152665,0.1080581282240769,0.6705744750813594,0.04656916747452719
MASTERTON DISTRICT,197.97359628602888,1351928.810975233,34.56729267249523,441294.91931092914,1.351928810975233,0.4412949193109291,0.0132388475793278,0.0176517967724371,0.0220647459655464,moderate_modernization,1.2613191786322346,0.01205059759485,0.09060963234299835,0.005601199177587101
MATAMATA-PIAKO DISTRICT,1090.8343014353588,7744002.889019983,215.552912148216,2761860.043594966,7.744002889019983,2.7618600435949667,0.0828558013078489,0.1104744017437986,0.1380930021797483,moderate_modernization,7.232557854348387,0.0765633172250073,0.5114450346715964,0.03391108451879131
NAPIER CITY,238.36879350756357,1658652.0954551727,44.67783824319163,570618.4557944594,1.658652095455173,0.5706184557944595,0.0171185536738337,0.0228247382317783,0.0285309227897229,moderate_modernization,1.5525999340525511,0.0156857265538119,0.10605216140262175,0.007139011677966399
NELSON CITY,111.5593393164607,736922.7293348853,18.113858946111165,231196.25245261693,0.7369227293348852,0.2311962524526169,0.0069358875735785,0.0092478500981046,0.0115598126226308,moderate_modernization,0.6903671495025453,0.0063135303610777,0.04655557983233993,0.002934319737026899
NEW PLYMOUTH DISTRICT,522.9005177726485,3404316.664032081,76.60475748529636,969725.9380432786,3.404316664032081,0.9697259380432788,0.0290917781412983,0.0387890375217311,0.0484862969021639,moderate_modernization,3.18645135092871,0.025485360631864,0.21786531310337098,0.0133036768898671
OPOTIKI DISTRICT,117.95395062300416,780837.5454449016,19.069317385911443,242610.61494230537,0.7808375454449016,0.2426106149423053,0.0072783184482691,0.0097044245976922,0.0121305307471152,moderate_modernization,0.7288887409642246,0.0065700407320445,0.05194880448067696,0.0031343838656476995
OTOROHANGA DISTRICT,268.179886942269,1867926.9303823388,51.28957681345938,656788.8338392316,1.867926930382339,0.6567888338392316,0.0197036650151769,0.0262715533535692,0.0328394416919615,moderate_modernization,1.7534829923406692,0.0181892676871464,0.11444393804166975,0.0080822856664228
PALMERSTON NORTH CITY,742.2436245459618,5151326.998569119,138.86818543542117,1780735.439847501,5.151326998569119,1.780735439847501,0.053422063195425,0.0712294175939,0.089036771992375,moderate_modernization,4.810163628036168,0.0494460060347705,0.34116337053295087,0.021783411559129502
