tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name,baseline_regional_diesel_ml,baseline_def_central_ml,delta_regional_diesel_ml_vs_baseline,delta_def_central_ml_vs_baseline
ASHBURTON DISTRICT,1768.537907490089,11906693.070506996,269.7020502047847,3401546.20145014,11.906693070506996,3.4015462014501403,0.1020463860435042,0.1360618480580056,0.170077310072507,delayed_replacement,11.548300232706268,0.1194015038634313,0.3583928378007286,0.01666034419457431
MARLBOROUGH DISTRICT,1412.8133844334366,9910847.166625056,243.0410211740139,3069331.439578352,9.910847166625054,3.069331439578352,0.0920799431873505,0.122773257583134,0.1534665719789176,delayed_replacement,9.615131293152665,0.1080581282240769,0.29571587347238903,0.014715129359057097
SOUTHLAND DISTRICT,1365.8541558950028,9345978.338626863,217.52976168062384,2742934.437012653,9.345978338626866,2.7429344370126527,0.0822880331103795,0.1097173774805061,0.1371467218506326,delayed_replacement,9.068056144146444,0.0962550859675614,0.2779221944804213,0.013462291512944702
MATAMATA-PIAKO DISTRICT,1090.8343014353588,7463239.386896213,172.492818862431,2178349.2300592083,7.463239386896213,2.1783492300592084,0.0653504769017762,0.0871339692023683,0.1089174615029604,delayed_replacement,7.232557854348387,0.0765633172250073,0.23068153254782597,0.010570651977360998
TIMARU DISTRICT,1073.432502865356,7099272.820611696,151.85570961515103,1911523.6148391669,7.099272820611696,1.9115236148391668,0.057345708445175,0.0764609445935666,0.0955761807419583,delayed_replacement,6.884044131514043,0.0668869542672813,0.21522868909765336,0.009573990326285295
HAMILTON CITY,861.3882938515482,5989626.238906527,147.63945050344796,1867597.5155786143,5.989626238906527,1.8675975155786144,0.0560279254673584,0.0747039006231445,0.0933798757789307,delayed_replacement,5.809363233345271,0.0658685064219831,0.18026300556125552,0.008835394201161403
CHRISTCHURCH CITY,910.2324161618304,6065918.013082092,138.38284902647413,1750048.6558594157,6.065918013082092,1.7500486558594155,0.0525014596757824,0.0700019462343766,0.0875024327929707,delayed_replacement,5.884893087787285,0.0616434163649525,0.18102492529480685,0.008358529869424099
HASTINGS DISTRICT,771.7659136619546,5419788.559332329,141.22711637861178,1790062.9768571754,5.4197885593323285,1.7900629768571754,0.0537018893057152,0.071602519074287,0.0895031488428587,delayed_replacement,5.259960600140723,0.0633541003925039,0.1598279591916052,0.008248418681783096
INVERCARGILL CITY,845.9160075431453,5760859.87219695,132.7553775034843,1674579.9379451908,5.76085987219695,1.6745799379451909,0.0502373981383557,0.0669831975178076,0.0837289968972595,delayed_replacement,5.5922364119966295,0.0587915820066904,0.1686234602003207,0.008191615511117196
WAIPA DISTRICT,842.1897176348002,5705270.766894052,126.48569697685092,1595163.1795607582,5.705270766894052,1.595163179560758,0.0478548953868227,0.0638065271824303,0.0797581589780379,delayed_replacement,5.534265582287926,0.0559165670422969,0.17100518460612602,0.007889960140133392
WAIKATO DISTRICT,733.0743901278075,4945939.038371115,109.04110884120546,1371580.0497767392,4.945939038371115,1.3715800497767392,0.0411474014933021,0.0548632019910695,0.0685790024888369,delayed_replacement,4.795341988475544,0.0479720179032039,0.15059704989557154,0.006891184087865598
PALMERSTON NORTH CITY,742.2436245459618,4966175.545813626,111.10324528664869,1404574.9461313311,4.966175545813626,1.404574946131331,0.0421372483839399,0.0561829978452532,0.0702287473065665,delayed_replacement,4.810163628036168,0.0494460060347705,0.15601191777745793,0.0067369918104826995
