region_key,scenario_name,year,regional_active_licensed_count,regional_diesel_ml,regional_scr_diesel_ml,regional_def_central_ml,def_low_ml,def_high_ml
WESTLAND DISTRICT,accelerated_modernization,2029,110.94900412048608,0.774263664895435,0.26557899547455605,0.010623159818982226,0.00796736986423668,0.013278949773727802
WHAKATANE DISTRICT,accelerated_modernization,2029,328.41539896671856,2.357438548300379,0.9070438553971005,0.03628175421588395,0.027211315661913014,0.045352192769855026
WHANGANUI DISTRICT,accelerated_modernization,2029,168.72300919089346,1.1679533565699354,0.43420895437918483,0.017368358175167374,0.013026268631375544,0.021710447718959244
WHANGAREI DISTRICT,accelerated_modernization,2029,622.5055833803531,4.560505969300169,1.8846722712378647,0.07538689084951453,0.05654016813713594,0.09423361356189325
,accelerated_modernization,2029,97.84232255164065,0.7364431710587324,0.32077663054019157,0.012831065221607624,0.009623298916205747,0.016038831527009578
ASHBURTON DISTRICT,accelerated_modernization,2030,1768.537907490089,13.103037402600698,5.651471925575134,0.2260588770230053,0.169544157767254,0.2825735962787567
AUCKLAND,accelerated_modernization,2030,2522.8001626490627,18.84994490343433,8.388982967978027,0.3355593187191211,0.2516694890393408,0.41944914839890135
BULLER DISTRICT,accelerated_modernization,2030,110.99713321151452,0.8473513145895278,0.3807067134608233,0.0152282685384329,0.011421201403824698,0.019035335673041165
CARTERTON DISTRICT,accelerated_modernization,2030,126.71879058284952,0.941813937908454,0.3938672774677317,0.0157546910987092,0.01181601832403195,0.019693363873386587
CENTRAL HAWKE'S BAY DISTRICT,accelerated_modernization,2030,212.0013218261553,1.6024020849060698,0.7093551506139543,0.0283742060245581,0.021280654518418627,0.03546775753069772
CENTRAL OTAGO DISTRICT,accelerated_modernization,2030,466.7035038640905,3.498641241394793,1.5222952151508975,0.0608918086060359,0.045668856454526924,0.07611476075754488
CHRISTCHURCH CITY,accelerated_modernization,2030,910.2324161618304,6.667424857050524,2.8715084295304294,0.1148603371812171,0.08614525288591288,0.14357542147652147
CLUTHA DISTRICT,accelerated_modernization,2030,536.8790288724092,3.981195408226435,1.6955036197809816,0.0678201447912392,0.050865108593429444,0.08477518098904908
DUNEDIN CITY,accelerated_modernization,2030,429.2020491315995,3.069758602709096,1.2232672506430022,0.0489306900257201,0.03669801751929007,0.061163362532150115
FAR NORTH DISTRICT,accelerated_modernization,2030,412.2182423402806,2.8495892010648047,1.0468413549537992,0.0418736541981519,0.031405240648613976,0.05234206774768996
GISBORNE DISTRICT,accelerated_modernization,2030,499.97360456645214,3.551169208165539,1.4176937380793089,0.0567077495231723,0.04253081214237926,0.07088468690396545
GORE DISTRICT,accelerated_modernization,2030,621.7518611502518,4.674096119883652,2.069607461952645,0.0827842984781057,0.062088223858579344,0.10348037309763225
GREY DISTRICT,accelerated_modernization,2030,115.42613003486466,0.8386745768136162,0.3421864484514155,0.0136874579380566,0.010265593453542464,0.017109322422570777
HAMILTON CITY,accelerated_modernization,2030,861.3882938515482,6.610887896132117,3.036327233333246,0.1214530893333298,0.09108981699999738,0.15181636166666232
HASTINGS DISTRICT,accelerated_modernization,2030,771.7659136619548,5.985604596760672,2.8570693929911166,0.1142827757196446,0.0857120817897335,0.14285346964955584
HAURAKI DISTRICT,accelerated_modernization,2030,288.3315059921745,2.073334598640541,0.8581692976972044,0.0343267719078881,0.02574507893091613,0.04290846488486022
HOROWHENUA DISTRICT,accelerated_modernization,2030,382.0555675313024,2.7495507415918072,1.1135193521398294,0.0445407740855931,0.03340558056419488,0.05567596760699148
HURUNUI DISTRICT,accelerated_modernization,2030,323.0692323905395,2.3579211127711077,0.9602513006774154,0.0384100520270966,0.02880753902032246,0.048012565033870774
INVERCARGILL CITY,accelerated_modernization,2030,845.9160075431454,6.336916387123297,2.7788595084913945,0.1111543803396557,0.08336578525474184,0.13894297542456974
KAIKOURA DISTRICT,accelerated_modernization,2030,60.35016434423856,0.4046953107525578,0.1410533869670705,0.0056421354786828,0.004231601609012115,0.007052669348353526
KAIPARA DISTRICT,accelerated_modernization,2030,296.02827220476456,2.052655920438951,0.7493149031326279,0.0299725961253051,0.022479447093978838,0.0374657451566314
KAPITI COAST DISTRICT,accelerated_modernization,2030,119.08142340566629,0.7880733189132666,0.2776950722594303,0.0111078028903772,0.008330852167782909,0.013884753612971515
KAWERAU DISTRICT,accelerated_modernization,2030,5.028401204787997,0.0316882003649646,0.0089466611943219,0.0003578664477728,0.000268399835829657,0.00044733305971609503
LOWER HUTT CITY,accelerated_modernization,2030,39.26108811759057,0.28497404956228,0.1142000752214965,0.0045680030088598,0.003426002256644895,0.0057100037610748255
MACKENZIE DISTRICT,accelerated_modernization,2030,187.65783566349472,1.4016141038980354,0.602664522153445,0.0241065808861378,0.01807993566460335,0.030133226107672252
MANAWATU DISTRICT,accelerated_modernization,2030,383.8805722953612,2.890322326036724,1.2672005602892151,0.0506880224115686,0.03801601680867645,0.06336002801446076
MARLBOROUGH DISTRICT,accelerated_modernization,2030,1412.8133844334366,10.9395745517004,5.02991157932828,0.2011964631731312,0.1508973473798484,0.251495578966414
MASTERTON DISTRICT,accelerated_modernization,2030,197.97359628602885,1.4354498002405938,0.5813248987506077,0.0232529959500243,0.01743974696251823,0.029066244937530385
MATAMATA-PIAKO DISTRICT,accelerated_modernization,2030,1090.8343014353586,8.231549009722416,3.60963715656475,0.1443854862625899,0.1082891146969425,0.1804818578282375
NAPIER CITY,accelerated_modernization,2030,238.36879350756357,1.759888247035576,0.7490937477436213,0.0299637499097448,0.022472812432308635,0.037454687387181065
NELSON CITY,accelerated_modernization,2030,111.55933931646068,0.7799143589013102,0.3045542458782891,0.0121821698351315,0.009136627376348672,0.015227712293914456
NEW PLYMOUTH DISTRICT,accelerated_modernization,2030,522.9005177726485,3.6012605959788644,1.3023178602899574,0.0520927144115982,0.03906953580869872,0.06511589301449787
OPOTIKI DISTRICT,accelerated_modernization,2030,117.95395062300416,0.8281288761344745,0.3209702115834969,0.0128388084633398,0.009629106347504907,0.016048510579174845
OTOROHANGA DISTRICT,accelerated_modernization,2030,268.179886942269,1.9793042526334303,0.8588459754998014,0.034353839019992,0.02576537926499404,0.04294229877499007
PALMERSTON NORTH CITY,accelerated_modernization,2030,742.2436245459617,5.471261111306377,2.3253207288257385,0.0930128291530295,0.06975962186477215,0.11626603644128693
PORIRUA CITY,accelerated_modernization,2030,50.5593880532853,0.3844389021414183,0.1687966997114045,0.0067518679884561,0.005063900991342136,0.008439834985570226
QUEENSTOWN-LAKES DISTRICT,accelerated_modernization,2030,210.0831162620112,1.5382035722079617,0.6313776608205575,0.0252551064328223,0.018941329824616722,0.031568883041027875
