region_key,annual_diesel_litres,active_licensed_count_geo_cohort,scr_diesel_litres,def_low_litres,def_central_litres,def_high_litres,diesel_litres_stage_v,diesel_litres_tier_1,diesel_litres_tier_2,diesel_litres_tier_3,diesel_litres_tier_4f,diesel_litres_tier_4i,diesel_litres_unregulated,regional_active_licensed_count,regional_diesel_litres,regional_diesel_ml,regional_scr_diesel_litres,regional_scr_diesel_ml,regional_def_central_ml,share_of_national_fleet,share_of_national_diesel,share_of_national_def_central
SOUTH WAIRARAPA DISTRICT,1186689.7250214266,181.1729323792199,287562.95679299626,8626.888703789888,11502.518271719851,14378.147839649811,76423.75951870621,16236.422434801463,102764.26283937252,598795.2174490159,211139.19727429008,150174.83229480614,31156.033210434176,181.1729323792199,1186689.7250214266,1.1866897250214266,287562.95679299626,0.28756295679299626,0.011502518271719851,0.005796606817545942,0.005822814665984232,0.005477387012735739
STRATFORD DISTRICT,1121563.5026361323,177.6673663648457,256512.7343629505,7695.382030888515,10260.50937451802,12825.636718147529,66852.84662003763,24740.73181916966,109694.12406882842,546083.4207553702,189659.8877429129,137350.84158022056,47181.65004959311,177.6673663648457,1121563.5026361323,1.1215635026361324,256512.7343629505,0.25651273436295047,0.01026050937451802,0.005684446642229325,0.0055032552100882145,0.004885954489654133
WHANGANUI DISTRICT,1058641.6264701472,168.71484389683744,260046.9142799228,7801.407428397683,10401.876571196912,13002.34571399614,70138.0858820946,28662.671630339835,103964.63309431548,481338.39403346606,189908.8283978282,129434.55496293044,55194.45846917259,168.71484389683744,1058641.6264701472,1.0586416264701473,260046.9142799228,0.2600469142799228,0.010401876571196912,0.005398011731170602,0.005194511976178502,0.004953272169906775
RUAPEHU DISTRICT,1055271.27113511,165.2359028323873,255249.64309591497,7657.489292877449,10209.985723836598,12762.482154795747,68380.18381866348,20818.79200799949,102870.62642499935,507987.8636387421,186869.45927725144,129175.50433744042,39168.841630013645,165.2359028323873,1055271.27113511,1.05527127113511,255249.64309591497,0.25524964309591497,0.010209985723836598,0.005286703418018051,0.005177974414539061,0.004861895619975238
WAITOMO DISTRICT,937447.5132435096,139.82174788251135,259358.9051245394,7780.767153736181,10374.356204981576,12967.94525622697,68998.78607041221,9825.168908423915,65979.16089390416,440130.37816136895,190360.1190541272,127461.06086467786,34692.83929059512,139.82174788251135,937447.5132435096,0.9374475132435096,259358.9051245394,0.2593589051245394,0.010374356204981576,0.004473580497778136,0.00459984022243573,0.004940167239931205
CARTERTON DISTRICT,826652.6635896172,126.71010234723924,204786.00954928136,6143.58028647844,8191.440381971254,10239.300477464069,55350.75781707924,8656.714717272262,80041.24775709752,409882.7949632621,149435.25173220213,103710.90345727724,19574.993145426703,126.71010234723924,826652.6635896172,0.8266526635896172,204786.00954928136,0.20478600954928136,0.008191440381971254,0.004054074929805547,0.004056195273063177,0.003900684015788121
BULLER DISTRICT,748931.9635990345,110.98841930741162,200644.53430079544,6019.336029023863,8025.781372031817,10032.226715039773,53473.86206632302,4978.627430414745,48595.0696344373,364339.68956815655,147170.6722344724,101916.1810845542,28457.861580676243,110.98841930741162,748931.9635990345,0.7489319635990345,200644.53430079544,0.20064453430079543,0.008025781372031818,0.0035510615166252134,0.0036748376003593423,0.0038217988109877235
GREY DISTRICT,734480.4283165991,115.4198208432868,178837.72977783356,5365.131893335007,7153.509191113342,8941.886488891678,47919.50026212857,12710.740480848006,78053.54306412034,351251.8853635408,130918.229515705,89594.38948457141,24032.140145685,115.4198208432868,734480.4283165991,0.7344804283165991,178837.72977783356,0.17883772977783358,0.007153509191113342,0.003692843691350801,0.0036039272268941686,0.003406431306023164
OPOTIKI DISTRICT,728888.7409642248,117.94899746470637,164251.01830111383,4927.530549033415,6570.040732044553,8212.550915055692,42396.37688705989,21855.160246745578,77265.55438161359,344156.35596411064,121854.64141405394,85741.18674689526,35619.465323745884,117.94899746470637,728888.7409642248,0.7288887409642248,164251.01830111383,0.16425101830111383,0.006570040732044553,0.0037737644020440064,0.003576490097848145,0.003128589316595359
WESTLAND DISTRICT,705193.1710153457,110.9420734444769,147146.5157533739,4414.395472601217,5885.860630134956,7357.325787668696,37041.34151854496,6035.315049659317,68351.09563104583,368173.4719322606,110105.17423482894,86139.99571349952,29346.776935506536,110.9420734444769,705193.1710153457,0.7051931710153457,147146.5157533739,0.14714651575337392,0.005885860630134956,0.003549578686152005,0.0034602213636474696,0.0028027894251241576
