region_key,scenario_name,year,regional_active_licensed_count,regional_diesel_ml,regional_scr_diesel_ml,regional_def_central_ml,def_low_ml,def_high_ml
INVERCARGILL CITY,baseline_current_structure,2030,845.9160075431454,5.5922364119966295,1.469789550167262,0.0587915820066904,0.04409368650501786,0.0734894775083631
WAIPA DISTRICT,baseline_current_structure,2030,842.1897176348002,5.534265582287926,1.3979141760574243,0.0559165670422969,0.04193742528172273,0.06989570880287121
PALMERSTON NORTH CITY,baseline_current_structure,2030,742.2436245459617,4.810163628036168,1.2361501508692638,0.0494460060347705,0.037084504526077915,0.061807507543463196
WAIKATO DISTRICT,baseline_current_structure,2030,733.0743901278075,4.795341988475544,1.1993004475800977,0.0479720179032039,0.03597901342740293,0.05996502237900489
TASMAN DISTRICT,baseline_current_structure,2030,867.4433169845639,5.33159561090429,1.161143368064119,0.0464457347225647,0.03483430104192357,0.058057168403205954
WHANGAREI DISTRICT,baseline_current_structure,2030,622.5160584335971,4.137983852561668,1.1602787808322628,0.0464111512332905,0.03480836342496788,0.058013939041613144
AUCKLAND,delayed_replacement,2030,2522.8001626490627,17.130979400619097,5.138576038849304,0.2055430415539721,0.1541572811654791,0.2569288019424652
ASHBURTON DISTRICT,delayed_replacement,2030,1768.537907490089,11.906693070506996,3.4015462014501403,0.1360618480580056,0.1020463860435042,0.17007731007250704
MARLBOROUGH DISTRICT,delayed_replacement,2030,1412.8133844334366,9.910847166625054,3.069331439578352,0.122773257583134,0.09207994318735055,0.1534665719789176
SOUTHLAND DISTRICT,delayed_replacement,2030,1365.8541558950028,9.345978338626866,2.7429344370126527,0.1097173774805061,0.08228803311037958,0.13714672185063265
MATAMATA-PIAKO DISTRICT,delayed_replacement,2030,1090.8343014353588,7.463239386896213,2.1783492300592084,0.0871339692023683,0.06535047690177626,0.10891746150296043
TIMARU DISTRICT,delayed_replacement,2030,1073.432502865356,7.099272820611696,1.9115236148391668,0.0764609445935666,0.057345708445175,0.09557618074195834
HAMILTON CITY,delayed_replacement,2030,861.3882938515482,5.989626238906527,1.8675975155786144,0.0747039006231445,0.05602792546735843,0.09337987577893073
